"","treatment","jar_id","day","jar_count","replicate"
"156","14C",5,1,981,56
"157","14C",5,1,576,57
"158","14C",5,1,808,58
"159","14C",5,1,699,59
"160","14C",5,1,717,60
"161","14C",5,1,872,61
"162","14C",5,1,655,62
"163","14C",5,1,857,63
"164","14C",5,1,806,64
"165","14C",5,1,807,65
"166","14C",5,1,574,66
"167","14C",5,1,868,67
"168","14C",5,1,818,68
"169","14C",5,1,654,69
"170","14C",5,1,791,70
"171","14C",5,1,766,71
"172","14C",5,1,446,72
"173","14C",5,1,605,73
"174","14C",5,1,913,74
"175","14C",5,1,751,75
"176","14C",5,1,810,76
"177","14C",5,1,705,77
"178","14C",5,1,671,78
"179","14C",5,1,793,79
"180","14C",5,1,942,80
"181","14C",5,1,1109,81
"182","14C",5,1,832,82
"183","14C",5,1,866,83
"184","14C",5,1,774,84
"185","14C",5,1,704,85
"186","14C",5,1,917,86
"187","14C",5,1,825,87
"188","14C",5,1,623,88
"189","14C",5,1,786,89
"190","14C",5,1,814,90
"191","14C",5,1,951,91
"192","14C",5,1,716,92
"193","14C",5,1,839,93
"194","14C",5,1,840,94
"195","14C",5,1,950,95
"196","14C",5,1,779,96
"197","14C",5,1,814,97
"198","14C",5,1,815,98
"199","14C",5,1,749,99
"200","14C",5,1,716,100
"201","14C",4,1,753,1
"202","14C",4,1,686,2
"203","14C",4,1,514,3
"204","14C",4,1,484,4
"205","14C",4,1,627,5
"206","14C",4,1,614,6
"207","14C",4,1,704,7
"208","14C",4,1,667,8
"209","14C",4,1,501,9
"210","14C",4,1,569,10
"211","14C",4,1,621,11
"212","14C",4,1,534,12
"213","14C",4,1,648,13
"214","14C",4,1,744,14
"215","14C",4,1,490,15
"216","14C",4,1,556,16
"217","14C",4,1,807,17
"218","14C",4,1,767,18
"219","14C",4,1,661,19
"220","14C",4,1,769,20
"221","14C",4,1,640,21
"222","14C",4,1,558,22
"223","14C",4,1,758,23
"224","14C",4,1,571,24
"225","14C",4,1,663,25
"226","14C",4,1,659,26
