"","day","raw_count","sim_count","jar_id","rep_id","treatment","site"
"209",10,7,104,1,2,"14C","14C"
"210",14,5,90,1,2,"14C","14C"
"211",1,38,678,1,3,"14C","14C"
"212",4,16,212,1,3,"14C","14C"
"213",7,8,135,1,3,"14C","14C"
"214",10,7,123,1,3,"14C","14C"
"215",14,5,108,1,3,"14C","14C"
"216",1,38,553,1,4,"14C","14C"
"217",4,16,345,1,4,"14C","14C"
"218",7,8,216,1,4,"14C","14C"
"219",10,7,160,1,4,"14C","14C"
"220",14,5,70,1,4,"14C","14C"
"221",1,38,789,1,5,"14C","14C"
"222",4,16,287,1,5,"14C","14C"
"223",7,8,156,1,5,"14C","14C"
"224",10,7,132,1,5,"14C","14C"
"225",14,5,73,1,5,"14C","14C"
"226",1,29,472,2,1,"14C","14C"
"227",4,12,210,2,1,"14C","14C"
"228",7,16,198,2,1,"14C","14C"
"229",10,6,116,2,1,"14C","14C"
"230",14,3,79,2,1,"14C","14C"
"231",1,29,582,2,2,"14C","14C"
"232",4,12,281,2,2,"14C","14C"
"233",7,16,258,2,2,"14C","14C"
"234",10,6,119,2,2,"14C","14C"
"235",14,3,48,2,2,"14C","14C"
"236",1,29,482,2,3,"14C","14C"
"237",4,12,225,2,3,"14C","14C"
"238",7,16,225,2,3,"14C","14C"
"239",10,6,112,2,3,"14C","14C"
"240",14,3,60,2,3,"14C","14C"
"241",1,29,402,2,4,"14C","14C"
"242",4,12,396,2,4,"14C","14C"
"243",7,16,219,2,4,"14C","14C"
"244",10,6,159,2,4,"14C","14C"
"245",14,3,23,2,4,"14C","14C"
"246",1,29,490,2,5,"14C","14C"
"247",4,12,352,2,5,"14C","14C"
"248",7,16,210,2,5,"14C","14C"
"249",10,6,127,2,5,"14C","14C"
"250",14,3,72,2,5,"14C","14C"
"251",1,24,506,3,1,"14C","14C"
"252",4,19,264,3,1,"14C","14C"
"253",7,16,242,3,1,"14C","14C"
"254",10,9,238,3,1,"14C","14C"
"255",14,3,27,3,1,"14C","14C"
"256",1,24,356,3,2,"14C","14C"
"257",4,19,215,3,2,"14C","14C"
"258",7,16,194,3,2,"14C","14C"
"259",10,9,132,3,2,"14C","14C"
"260",14,3,119,3,2,"14C","14C"
"261",1,24,575,3,3,"14C","14C"
"262",4,19,259,3,3,"14C","14C"
"263",7,16,259,3,3,"14C","14C"
"264",10,9,153,3,3,"14C","14C"
"265",14,3,89,3,3,"14C","14C"
"266",1,24,343,3,4,"14C","14C"
"267",4,19,310,3,4,"14C","14C"
"268",7,16,274,3,4,"14C","14C"
"269",10,9,233,3,4,"14C","14C"
"270",14,3,91,3,4,"14C","14C"
"271",1,24,406,3,5,"14C","14C"
"272",4,19,389,3,5,"14C","14C"
"273",7,16,256,3,5,"14C","14C"
"274",10,9,144,3,5,"14C","14C"
"275",14,3,50,3,5,"14C","14C"
"276",1,37,758,4,1,"14C","14C"
"277",4,24,559,4,1,"14C","14C"
"278",7,21,294,4,1,"14C","14C"
"279",10,8,258,4,1,"14C","14C"
"280",14,5,84,4,1,"14C","14C"
"281",1,37,702,4,2,"14C","14C"
"282",4,24,447,4,2,"14C","14C"
"283",7,21,378,4,2,"14C","14C"
"284",10,8,203,4,2,"14C","14C"
"285",14,5,158,4,2,"14C","14C"
"286",1,37,631,4,3,"14C","14C"
"287",4,24,554,4,3,"14C","14C"
"288",7,21,381,4,3,"14C","14C"
"289",10,8,174,4,3,"14C","14C"
"290",14,5,85,4,3,"14C","14C"
"291",1,37,641,4,4,"14C","14C"
"292",4,24,431,4,4,"14C","14C"
"293",7,21,413,4,4,"14C","14C"
"294",10,8,199,4,4,"14C","14C"
"295",14,5,105,4,4,"14C","14C"
"296",1,37,756,4,5,"14C","14C"
"297",4,24,505,4,5,"14C","14C"
"298",7,21,380,4,5,"14C","14C"
"299",10,8,104,4,5,"14C","14C"
"300",14,5,75,4,5,"14C","14C"
"301",1,45,917,5,1,"14C","14C"
"302",4,12,310,5,1,"14C","14C"
"303",7,17,244,5,1,"14C","14C"
"304",10,6,95,5,1,"14C","14C"
"305",14,2,35,5,1,"14C","14C"
"306",1,45,806,5,2,"14C","14C"
