day,raw_count,sim_count,jar_id,rep_id,treatment,site
14,21,294,31,68,20C,20C
1,43,825,31,69,20C,20C
3,37,636,31,69,20C,20C
5,31,622,31,69,20C,20C
7,35,606,31,69,20C,20C
10,46,590,31,69,20C,20C
12,21,352,31,69,20C,20C
14,21,193,31,69,20C,20C
1,43,784,31,70,20C,20C
3,37,728,31,70,20C,20C
5,31,670,31,70,20C,20C
7,35,636,31,70,20C,20C
10,46,608,31,70,20C,20C
12,21,438,31,70,20C,20C
14,21,382,31,70,20C,20C
1,43,767,31,71,20C,20C
3,37,694,31,71,20C,20C
5,31,686,31,71,20C,20C
7,35,652,31,71,20C,20C
10,46,601,31,71,20C,20C
12,21,513,31,71,20C,20C
14,21,384,31,71,20C,20C
1,43,1001,31,72,20C,20C
3,37,812,31,72,20C,20C
5,31,661,31,72,20C,20C
7,35,659,31,72,20C,20C
10,46,568,31,72,20C,20C
12,21,451,31,72,20C,20C
14,21,451,31,72,20C,20C
1,43,895,31,73,20C,20C
3,37,828,31,73,20C,20C
5,31,651,31,73,20C,20C
7,35,505,31,73,20C,20C
10,46,472,31,73,20C,20C
12,21,387,31,73,20C,20C
14,21,326,31,73,20C,20C
1,43,835,31,74,20C,20C
3,37,799,31,74,20C,20C
5,31,593,31,74,20C,20C
7,35,587,31,74,20C,20C
10,46,586,31,74,20C,20C
12,21,380,31,74,20C,20C
14,21,314,31,74,20C,20C
1,43,930,31,75,20C,20C
3,37,835,31,75,20C,20C
5,31,635,31,75,20C,20C
7,35,607,31,75,20C,20C
10,46,490,31,75,20C,20C
12,21,338,31,75,20C,20C
14,21,321,31,75,20C,20C
1,43,725,31,76,20C,20C
3,37,658,31,76,20C,20C
5,31,586,31,76,20C,20C
7,35,583,31,76,20C,20C
10,46,537,31,76,20C,20C
12,21,361,31,76,20C,20C
14,21,280,31,76,20C,20C
1,43,799,31,77,20C,20C
3,37,775,31,77,20C,20C
5,31,616,31,77,20C,20C
7,35,612,31,77,20C,20C
10,46,602,31,77,20C,20C
12,21,421,31,77,20C,20C
14,21,369,31,77,20C,20C
1,43,826,31,78,20C,20C
3,37,757,31,78,20C,20C
5,31,727,31,78,20C,20C
7,35,585,31,78,20C,20C
10,46,577,31,78,20C,20C
12,21,402,31,78,20C,20C
14,21,295,31,78,20C,20C
1,43,935,31,79,20C,20C
3,37,585,31,79,20C,20C
5,31,499,31,79,20C,20C
7,35,472,31,79,20C,20C
10,46,434,31,79,20C,20C
12,21,414,31,79,20C,20C
14,21,184,31,79,20C,20C
1,43,781,31,80,20C,20C
3,37,696,31,80,20C,20C
5,31,587,31,80,20C,20C
7,35,568,31,80,20C,20C
10,46,503,31,80,20C,20C
12,21,413,31,80,20C,20C
14,21,290,31,80,20C,20C
1,43,822,31,81,20C,20C
3,37,812,31,81,20C,20C
5,31,755,31,81,20C,20C
7,35,578,31,81,20C,20C
10,46,566,31,81,20C,20C
12,21,414,31,81,20C,20C
14,21,289,31,81,20C,20C
1,43,839,31,82,20C,20C
3,37,643,31,82,20C,20C
5,31,596,31,82,20C,20C
7,35,549,31,82,20C,20C
10,46,528,31,82,20C,20C
12,21,430,31,82,20C,20C
14,21,415,31,82,20C,20C
1,43,720,31,83,20C,20C
3,37,702,31,83,20C,20C
5,31,673,31,83,20C,20C
7,35,567,31,83,20C,20C
10,46,552,31,83,20C,20C
12,21,451,31,83,20C,20C
14,21,364,31,83,20C,20C
1,43,821,31,84,20C,20C
3,37,683,31,84,20C,20C
5,31,617,31,84,20C,20C
7,35,601,31,84,20C,20C
10,46,475,31,84,20C,20C
12,21,408,31,84,20C,20C
14,21,281,31,84,20C,20C
1,43,683,31,85,20C,20C
3,37,632,31,85,20C,20C
5,31,609,31,85,20C,20C
7,35,583,31,85,20C,20C
10,46,545,31,85,20C,20C
12,21,393,31,85,20C,20C
14,21,206,31,85,20C,20C
1,43,995,31,86,20C,20C
3,37,881,31,86,20C,20C
5,31,799,31,86,20C,20C
7,35,762,31,86,20C,20C
10,46,762,31,86,20C,20C
12,21,408,31,86,20C,20C
14,21,377,31,86,20C,20C
1,43,873,31,87,20C,20C
3,37,789,31,87,20C,20C
5,31,575,31,87,20C,20C
7,35,573,31,87,20C,20C
10,46,573,31,87,20C,20C
12,21,436,31,87,20C,20C
14,21,394,31,87,20C,20C
1,43,957,31,88,20C,20C
3,37,716,31,88,20C,20C
5,31,636,31,88,20C,20C
7,35,636,31,88,20C,20C
10,46,578,31,88,20C,20C
12,21,410,31,88,20C,20C
14,21,307,31,88,20C,20C
1,43,746,31,89,20C,20C
3,37,641,31,89,20C,20C
5,31,564,31,89,20C,20C
7,35,538,31,89,20C,20C
10,46,515,31,89,20C,20C
12,21,393,31,89,20C,20C
14,21,256,31,89,20C,20C
1,43,762,31,90,20C,20C
3,37,672,31,90,20C,20C
5,31,622,31,90,20C,20C
7,35,582,31,90,20C,20C
10,46,512,31,90,20C,20C
12,21,386,31,90,20C,20C
14,21,359,31,90,20C,20C
1,43,871,31,91,20C,20C
3,37,723,31,91,20C,20C
5,31,625,31,91,20C,20C
7,35,576,31,91,20C,20C
10,46,533,31,91,20C,20C
12,21,434,31,91,20C,20C
14,21,270,31,91,20C,20C
1,43,823,31,92,20C,20C
3,37,789,31,92,20C,20C
5,31,648,31,92,20C,20C
7,35,626,31,92,20C,20C
10,46,598,31,92,20C,20C
12,21,409,31,92,20C,20C
14,21,265,31,92,20C,20C
1,43,753,31,93,20C,20C
3,37,615,31,93,20C,20C
5,31,567,31,93,20C,20C
7,35,561,31,93,20C,20C
10,46,560,31,93,20C,20C
12,21,444,31,93,20C,20C
14,21,295,31,93,20C,20C
1,43,884,31,94,20C,20C
3,37,784,31,94,20C,20C
5,31,624,31,94,20C,20C
7,35,616,31,94,20C,20C
10,46,548,31,94,20C,20C
12,21,424,31,94,20C,20C
14,21,346,31,94,20C,20C
1,43,830,31,95,20C,20C
3,37,710,31,95,20C,20C
5,31,642,31,95,20C,20C
7,35,620,31,95,20C,20C
10,46,531,31,95,20C,20C
12,21,337,31,95,20C,20C
14,21,289,31,95,20C,20C
1,43,766,31,96,20C,20C
3,37,733,31,96,20C,20C
5,31,699,31,96,20C,20C
7,35,622,31,96,20C,20C
10,46,592,31,96,20C,20C
12,21,327,31,96,20C,20C
14,21,271,31,96,20C,20C
1,43,803,31,97,20C,20C
3,37,750,31,97,20C,20C
5,31,652,31,97,20C,20C
7,35,648,31,97,20C,20C
10,46,617,31,97,20C,20C
12,21,369,31,97,20C,20C
14,21,270,31,97,20C,20C
1,43,820,31,98,20C,20C
3,37,695,31,98,20C,20C
5,31,591,31,98,20C,20C
7,35,554,31,98,20C,20C
10,46,551,31,98,20C,20C
12,21,432,31,98,20C,20C
14,21,406,31,98,20C,20C
1,43,783,31,99,20C,20C
3,37,625,31,99,20C,20C
5,31,595,31,99,20C,20C
7,35,574,31,99,20C,20C
10,46,547,31,99,20C,20C
12,21,352,31,99,20C,20C
14,21,231,31,99,20C,20C
1,43,705,31,100,20C,20C
3,37,631,31,100,20C,20C
5,31,630,31,100,20C,20C
7,35,595,31,100,20C,20C
10,46,582,31,100,20C,20C
12,21,422,31,100,20C,20C
14,21,384,31,100,20C,20C
1,43,799,31,101,20C,20C
3,37,717,31,101,20C,20C
5,31,699,31,101,20C,20C
7,35,646,31,101,20C,20C
10,46,645,31,101,20C,20C
12,21,333,31,101,20C,20C
14,21,333,31,101,20C,20C
1,43,854,31,102,20C,20C
3,37,693,31,102,20C,20C
5,31,692,31,102,20C,20C
7,35,596,31,102,20C,20C
10,46,551,31,102,20C,20C
12,21,476,31,102,20C,20C
14,21,441,31,102,20C,20C
1,43,766,31,103,20C,20C
3,37,751,31,103,20C,20C
5,31,681,31,103,20C,20C
7,35,654,31,103,20C,20C
10,46,588,31,103,20C,20C
12,21,378,31,103,20C,20C
14,21,329,31,103,20C,20C
1,43,769,31,104,20C,20C
3,37,769,31,104,20C,20C
5,31,715,31,104,20C,20C
7,35,703,31,104,20C,20C
10,46,682,31,104,20C,20C
12,21,305,31,104,20C,20C
14,21,297,31,104,20C,20C
1,43,864,31,105,20C,20C
3,37,782,31,105,20C,20C
5,31,632,31,105,20C,20C
7,35,607,31,105,20C,20C
10,46,586,31,105,20C,20C
12,21,459,31,105,20C,20C
14,21,259,31,105,20C,20C
1,43,661,31,106,20C,20C
3,37,659,31,106,20C,20C
5,31,588,31,106,20C,20C
7,35,585,31,106,20C,20C
10,46,564,31,106,20C,20C
12,21,326,31,106,20C,20C
14,21,310,31,106,20C,20C
1,43,803,31,107,20C,20C
3,37,647,31,107,20C,20C
5,31,612,31,107,20C,20C
7,35,562,31,107,20C,20C
10,46,519,31,107,20C,20C
12,21,444,31,107,20C,20C
14,21,238,31,107,20C,20C
1,43,956,31,108,20C,20C
3,37,713,31,108,20C,20C
5,31,592,31,108,20C,20C
7,35,561,31,108,20C,20C
10,46,495,31,108,20C,20C
12,21,400,31,108,20C,20C
14,21,290,31,108,20C,20C
1,43,960,31,109,20C,20C
3,37,698,31,109,20C,20C
5,31,685,31,109,20C,20C
7,35,631,31,109,20C,20C
10,46,542,31,109,20C,20C
12,21,359,31,109,20C,20C
14,21,304,31,109,20C,20C
1,43,685,31,110,20C,20C
3,37,643,31,110,20C,20C
5,31,591,31,110,20C,20C
7,35,553,31,110,20C,20C
10,46,503,31,110,20C,20C
12,21,390,31,110,20C,20C
14,21,388,31,110,20C,20C
1,43,973,31,111,20C,20C
3,37,754,31,111,20C,20C
5,31,574,31,111,20C,20C
7,35,512,31,111,20C,20C
10,46,497,31,111,20C,20C
12,21,346,31,111,20C,20C
14,21,264,31,111,20C,20C
1,43,840,31,112,20C,20C
3,37,653,31,112,20C,20C
5,31,600,31,112,20C,20C
7,35,572,31,112,20C,20C
10,46,476,31,112,20C,20C
12,21,456,31,112,20C,20C
14,21,271,31,112,20C,20C
1,43,791,31,113,20C,20C
3,37,626,31,113,20C,20C
5,31,619,31,113,20C,20C
7,35,590,31,113,20C,20C
10,46,538,31,113,20C,20C
12,21,380,31,113,20C,20C
14,21,342,31,113,20C,20C
1,43,745,31,114,20C,20C
3,37,744,31,114,20C,20C
