day,raw_count,sim_count,jar_id,rep_id,treatment,site
1,43,752,31,32,20C,20C
3,37,613,31,32,20C,20C
5,31,609,31,32,20C,20C
7,35,603,31,32,20C,20C
10,46,589,31,32,20C,20C
12,21,252,31,32,20C,20C
14,21,248,31,32,20C,20C
1,43,891,31,33,20C,20C
3,37,705,31,33,20C,20C
5,31,592,31,33,20C,20C
7,35,589,31,33,20C,20C
10,46,579,31,33,20C,20C
12,21,361,31,33,20C,20C
14,21,252,31,33,20C,20C
1,43,737,31,34,20C,20C
3,37,644,31,34,20C,20C
5,31,610,31,34,20C,20C
7,35,605,31,34,20C,20C
10,46,604,31,34,20C,20C
12,21,381,31,34,20C,20C
14,21,275,31,34,20C,20C
1,43,872,31,35,20C,20C
3,37,743,31,35,20C,20C
5,31,722,31,35,20C,20C
7,35,675,31,35,20C,20C
10,46,647,31,35,20C,20C
12,21,334,31,35,20C,20C
14,21,321,31,35,20C,20C
1,43,758,31,36,20C,20C
3,37,686,31,36,20C,20C
5,31,677,31,36,20C,20C
7,35,654,31,36,20C,20C
10,46,575,31,36,20C,20C
12,21,351,31,36,20C,20C
14,21,306,31,36,20C,20C
1,43,845,31,37,20C,20C
3,37,632,31,37,20C,20C
5,31,545,31,37,20C,20C
7,35,531,31,37,20C,20C
10,46,511,31,37,20C,20C
12,21,415,31,37,20C,20C
14,21,267,31,37,20C,20C
1,43,763,31,38,20C,20C
3,37,677,31,38,20C,20C
5,31,670,31,38,20C,20C
7,35,654,31,38,20C,20C
10,46,569,31,38,20C,20C
12,21,303,31,38,20C,20C
14,21,231,31,38,20C,20C
1,43,833,31,39,20C,20C
3,37,695,31,39,20C,20C
5,31,686,31,39,20C,20C
7,35,647,31,39,20C,20C
10,46,616,31,39,20C,20C
12,21,422,31,39,20C,20C
14,21,380,31,39,20C,20C
1,43,616,31,40,20C,20C
3,37,615,31,40,20C,20C
5,31,580,31,40,20C,20C
7,35,576,31,40,20C,20C
10,46,569,31,40,20C,20C
12,21,437,31,40,20C,20C
14,21,253,31,40,20C,20C
1,43,811,31,41,20C,20C
3,37,787,31,41,20C,20C
5,31,653,31,41,20C,20C
7,35,616,31,41,20C,20C
10,46,595,31,41,20C,20C
12,21,516,31,41,20C,20C
14,21,372,31,41,20C,20C
1,43,923,31,42,20C,20C
3,37,701,31,42,20C,20C
5,31,656,31,42,20C,20C
7,35,606,31,42,20C,20C
10,46,592,31,42,20C,20C
12,21,488,31,42,20C,20C
14,21,260,31,42,20C,20C
1,43,765,31,43,20C,20C
3,37,673,31,43,20C,20C
5,31,672,31,43,20C,20C
7,35,667,31,43,20C,20C
10,46,546,31,43,20C,20C
12,21,481,31,43,20C,20C
14,21,313,31,43,20C,20C
1,43,751,31,44,20C,20C
3,37,585,31,44,20C,20C
5,31,559,31,44,20C,20C
7,35,546,31,44,20C,20C
10,46,484,31,44,20C,20C
12,21,427,31,44,20C,20C
14,21,322,31,44,20C,20C
1,43,842,31,45,20C,20C
3,37,777,31,45,20C,20C
5,31,724,31,45,20C,20C
7,35,632,31,45,20C,20C
10,46,601,31,45,20C,20C
12,21,369,31,45,20C,20C
14,21,313,31,45,20C,20C
1,43,819,31,46,20C,20C
3,37,717,31,46,20C,20C
5,31,713,31,46,20C,20C
7,35,579,31,46,20C,20C
10,46,575,31,46,20C,20C
12,21,460,31,46,20C,20C
14,21,285,31,46,20C,20C
1,43,877,31,47,20C,20C
3,37,690,31,47,20C,20C
5,31,590,31,47,20C,20C
7,35,567,31,47,20C,20C
10,46,499,31,47,20C,20C
12,21,439,31,47,20C,20C
14,21,311,31,47,20C,20C
1,43,725,31,48,20C,20C
3,37,697,31,48,20C,20C
5,31,674,31,48,20C,20C
7,35,651,31,48,20C,20C
10,46,603,31,48,20C,20C
12,21,370,31,48,20C,20C
14,21,259,31,48,20C,20C
1,43,695,31,49,20C,20C
3,37,679,31,49,20C,20C
5,31,648,31,49,20C,20C
7,35,602,31,49,20C,20C
10,46,591,31,49,20C,20C
12,21,473,31,49,20C,20C
14,21,351,31,49,20C,20C
1,43,734,31,50,20C,20C
3,37,712,31,50,20C,20C
5,31,624,31,50,20C,20C
7,35,597,31,50,20C,20C
10,46,578,31,50,20C,20C
12,21,364,31,50,20C,20C
14,21,247,31,50,20C,20C
1,43,811,31,51,20C,20C
3,37,713,31,51,20C,20C
5,31,669,31,51,20C,20C
7,35,635,31,51,20C,20C
10,46,634,31,51,20C,20C
12,21,355,31,51,20C,20C
14,21,260,31,51,20C,20C
1,43,749,31,52,20C,20C
3,37,671,31,52,20C,20C
5,31,604,31,52,20C,20C
7,35,589,31,52,20C,20C
10,46,527,31,52,20C,20C
12,21,432,31,52,20C,20C
14,21,303,31,52,20C,20C
1,43,904,31,53,20C,20C
3,37,697,31,53,20C,20C
5,31,689,31,53,20C,20C
7,35,569,31,53,20C,20C
10,46,466,31,53,20C,20C
12,21,394,31,53,20C,20C
14,21,382,31,53,20C,20C
1,43,866,31,54,20C,20C
3,37,608,31,54,20C,20C
5,31,592,31,54,20C,20C
7,35,570,31,54,20C,20C
10,46,567,31,54,20C,20C
12,21,384,31,54,20C,20C
14,21,353,31,54,20C,20C
1,43,735,31,55,20C,20C
3,37,713,31,55,20C,20C
5,31,691,31,55,20C,20C
7,35,667,31,55,20C,20C
10,46,620,31,55,20C,20C
12,21,431,31,55,20C,20C
14,21,405,31,55,20C,20C
1,43,849,31,56,20C,20C
3,37,767,31,56,20C,20C
5,31,673,31,56,20C,20C
7,35,630,31,56,20C,20C
10,46,622,31,56,20C,20C
12,21,375,31,56,20C,20C
14,21,346,31,56,20C,20C
1,43,842,31,57,20C,20C
3,37,694,31,57,20C,20C
5,31,618,31,57,20C,20C
7,35,584,31,57,20C,20C
10,46,547,31,57,20C,20C
12,21,328,31,57,20C,20C
14,21,312,31,57,20C,20C
1,43,680,31,58,20C,20C
3,37,647,31,58,20C,20C
5,31,617,31,58,20C,20C
7,35,598,31,58,20C,20C
10,46,549,31,58,20C,20C
12,21,497,31,58,20C,20C
14,21,465,31,58,20C,20C
1,43,806,31,59,20C,20C
3,37,645,31,59,20C,20C
5,31,625,31,59,20C,20C
7,35,564,31,59,20C,20C
10,46,511,31,59,20C,20C
12,21,427,31,59,20C,20C
14,21,320,31,59,20C,20C
1,43,776,31,60,20C,20C
3,37,690,31,60,20C,20C
5,31,634,31,60,20C,20C
7,35,619,31,60,20C,20C
10,46,587,31,60,20C,20C
12,21,277,31,60,20C,20C
14,21,266,31,60,20C,20C
1,43,909,31,61,20C,20C
3,37,727,31,61,20C,20C
5,31,720,31,61,20C,20C
7,35,643,31,61,20C,20C
10,46,640,31,61,20C,20C
12,21,290,31,61,20C,20C
14,21,279,31,61,20C,20C
1,43,826,31,62,20C,20C
3,37,671,31,62,20C,20C
5,31,639,31,62,20C,20C
7,35,609,31,62,20C,20C
10,46,550,31,62,20C,20C
12,21,393,31,62,20C,20C
14,21,305,31,62,20C,20C
1,43,719,31,63,20C,20C
3,37,676,31,63,20C,20C
5,31,676,31,63,20C,20C
7,35,565,31,63,20C,20C
10,46,521,31,63,20C,20C
12,21,317,31,63,20C,20C
14,21,230,31,63,20C,20C
1,43,830,31,64,20C,20C
3,37,669,31,64,20C,20C
5,31,651,31,64,20C,20C
7,35,637,31,64,20C,20C
10,46,601,31,64,20C,20C
12,21,412,31,64,20C,20C
14,21,287,31,64,20C,20C
1,43,668,31,65,20C,20C
3,37,629,31,65,20C,20C
5,31,601,31,65,20C,20C
7,35,593,31,65,20C,20C
10,46,539,31,65,20C,20C
12,21,408,31,65,20C,20C
14,21,362,31,65,20C,20C
1,43,817,31,66,20C,20C
3,37,715,31,66,20C,20C
5,31,639,31,66,20C,20C
7,35,635,31,66,20C,20C
10,46,607,31,66,20C,20C
12,21,328,31,66,20C,20C
14,21,297,31,66,20C,20C
1,43,696,31,67,20C,20C
3,37,688,31,67,20C,20C
5,31,602,31,67,20C,20C
7,35,585,31,67,20C,20C
10,46,562,31,67,20C,20C
12,21,370,31,67,20C,20C
14,21,273,31,67,20C,20C
1,43,782,31,68,20C,20C
3,37,743,31,68,20C,20C
5,31,640,31,68,20C,20C
7,35,619,31,68,20C,20C
10,46,564,31,68,20C,20C
12,21,378,31,68,20C,20C
14,21,289,31,68,20C,20C
1,43,840,31,69,20C,20C
3,37,788,31,69,20C,20C
5,31,747,31,69,20C,20C
7,35,589,31,69,20C,20C
10,46,583,31,69,20C,20C
12,21,350,31,69,20C,20C
14,21,272,31,69,20C,20C
1,43,785,31,70,20C,20C
3,37,635,31,70,20C,20C
5,31,578,31,70,20C,20C
7,35,574,31,70,20C,20C
10,46,534,31,70,20C,20C
12,21,410,31,70,20C,20C
14,21,274,31,70,20C,20C
1,43,866,31,71,20C,20C
3,37,627,31,71,20C,20C
5,31,549,31,71,20C,20C
7,35,548,31,71,20C,20C
10,46,536,31,71,20C,20C
12,21,399,31,71,20C,20C
14,21,278,31,71,20C,20C
1,43,838,31,72,20C,20C
3,37,631,31,72,20C,20C
5,31,623,31,72,20C,20C
7,35,607,31,72,20C,20C
10,46,579,31,72,20C,20C
12,21,362,31,72,20C,20C
14,21,351,31,72,20C,20C
1,43,720,31,73,20C,20C
3,37,707,31,73,20C,20C
5,31,695,31,73,20C,20C
7,35,640,31,73,20C,20C
10,46,636,31,73,20C,20C
12,21,482,31,73,20C,20C
14,21,360,31,73,20C,20C
1,43,665,31,74,20C,20C
3,37,661,31,74,20C,20C
5,31,644,31,74,20C,20C
7,35,634,31,74,20C,20C
10,46,571,31,74,20C,20C
12,21,389,31,74,20C,20C
14,21,320,31,74,20C,20C
1,43,732,31,75,20C,20C
3,37,708,31,75,20C,20C
5,31,626,31,75,20C,20C
7,35,619,31,75,20C,20C
10,46,579,31,75,20C,20C
12,21,465,31,75,20C,20C
14,21,279,31,75,20C,20C
1,43,698,31,76,20C,20C
3,37,695,31,76,20C,20C
5,31,593,31,76,20C,20C
7,35,577,31,76,20C,20C
10,46,536,31,76,20C,20C
12,21,424,31,76,20C,20C
14,21,328,31,76,20C,20C
1,43,740,31,77,20C,20C
3,37,632,31,77,20C,20C
5,31,569,31,77,20C,20C
7,35,505,31,77,20C,20C
10,46,436,31,77,20C,20C
12,21,359,31,77,20C,20C
14,21,326,31,77,20C,20C
1,43,912,31,78,20C,20C
3,37,748,31,78,20C,20C
5,31,687,31,78,20C,20C
7,35,635,31,78,20C,20C
10,46,619,31,78,20C,20C
12,21,470,31,78,20C,20C
14,21,313,31,78,20C,20C
1,43,683,31,79,20C,20C
3,37,640,31,79,20C,20C
5,31,603,31,79,20C,20C
7,35,559,31,79,20C,20C
10,46,558,31,79,20C,20C
12,21,356,31,79,20C,20C
14,21,302,31,79,20C,20C
1,43,951,31,80,20C,20C
3,37,669,31,80,20C,20C
5,31,560,31,80,20C,20C
7,35,542,31,80,20C,20C
10,46,428,31,80,20C,20C
12,21,323,31,80,20C,20C
14,21,318,31,80,20C,20C
1,43,949,31,81,20C,20C
3,37,739,31,81,20C,20C
5,31,726,31,81,20C,20C
7,35,657,31,81,20C,20C
10,46,577,31,81,20C,20C
12,21,314,31,81,20C,20C
14,21,292,31,81,20C,20C
1,43,767,31,82,20C,20C
3,37,674,31,82,20C,20C
5,31,631,31,82,20C,20C
7,35,592,31,82,20C,20C
10,46,561,31,82,20C,20C
12,21,472,31,82,20C,20C
14,21,391,31,82,20C,20C
1,43,768,31,83,20C,20C
3,37,605,31,83,20C,20C
5,31,593,31,83,20C,20C
7,35,538,31,83,20C,20C
10,46,529,31,83,20C,20C
12,21,335,31,83,20C,20C
14,21,294,31,83,20C,20C
1,43,835,31,84,20C,20C
3,37,724,31,84,20C,20C
5,31,700,31,84,20C,20C
7,35,659,31,84,20C,20C
10,46,614,31,84,20C,20C
12,21,451,31,84,20C,20C
14,21,356,31,84,20C,20C
1,43,823,31,85,20C,20C
3,37,674,31,85,20C,20C
5,31,652,31,85,20C,20C
7,35,625,31,85,20C,20C
10,46,595,31,85,20C,20C
12,21,518,31,85,20C,20C
14,21,255,31,85,20C,20C
1,43,944,31,86,20C,20C
3,37,698,31,86,20C,20C
5,31,698,31,86,20C,20C
7,35,565,31,86,20C,20C
10,46,554,31,86,20C,20C
12,21,370,31,86,20C,20C
14,21,258,31,86,20C,20C
1,43,856,31,87,20C,20C
3,37,758,31,87,20C,20C
5,31,724,31,87,20C,20C
7,35,598,31,87,20C,20C
10,46,596,31,87,20C,20C
12,21,387,31,87,20C,20C
14,21,367,31,87,20C,20C
1,43,745,31,88,20C,20C
3,37,629,31,88,20C,20C
5,31,602,31,88,20C,20C
7,35,583,31,88,20C,20C
10,46,576,31,88,20C,20C
12,21,564,31,88,20C,20C
14,21,422,31,88,20C,20C
1,43,690,31,89,20C,20C
3,37,601,31,89,20C,20C
5,31,599,31,89,20C,20C
7,35,596,31,89,20C,20C
10,46,583,31,89,20C,20C
12,21,364,31,89,20C,20C
14,21,349,31,89,20C,20C
1,43,991,31,90,20C,20C
3,37,773,31,90,20C,20C
5,31,736,31,90,20C,20C
7,35,651,31,90,20C,20C
10,46,615,31,90,20C,20C
12,21,409,31,90,20C,20C
14,21,374,31,90,20C,20C
1,43,763,31,91,20C,20C
3,37,679,31,91,20C,20C
5,31,570,31,91,20C,20C
7,35,531,31,91,20C,20C
10,46,522,31,91,20C,20C
12,21,347,31,91,20C,20C
14,21,328,31,91,20C,20C
1,43,1050,31,92,20C,20C
3,37,713,31,92,20C,20C
5,31,549,31,92,20C,20C
7,35,536,31,92,20C,20C
10,46,523,31,92,20C,20C
12,21,415,31,92,20C,20C
14,21,286,31,92,20C,20C
1,43,749,31,93,20C,20C
3,37,639,31,93,20C,20C
5,31,603,31,93,20C,20C
7,35,585,31,93,20C,20C
10,46,577,31,93,20C,20C
12,21,398,31,93,20C,20C
14,21,371,31,93,20C,20C
1,43,867,31,94,20C,20C
3,37,726,31,94,20C,20C
5,31,622,31,94,20C,20C
7,35,571,31,94,20C,20C
10,46,568,31,94,20C,20C
12,21,378,31,94,20C,20C
14,21,359,31,94,20C,20C
1,43,667,31,95,20C,20C
3,37,596,31,95,20C,20C
5,31,527,31,95,20C,20C
7,35,520,31,95,20C,20C
10,46,517,31,95,20C,20C
12,21,267,31,95,20C,20C
14,21,247,31,95,20C,20C
1,43,888,31,96,20C,20C
3,37,688,31,96,20C,20C
5,31,592,31,96,20C,20C
7,35,580,31,96,20C,20C
